Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
APMar_Scaffold_7180000000040|quiver_12	QKX53460.1|AA4	46.9	407	207	4	5	407	637	1038	2.40e-124	389
APMar_Scaffold_7180000000040|quiver_124	ARM84234.1|GT4	99.7	325	1	0	1	325	1	325	8.23e-243	664
APMar_Scaffold_7180000000040|quiver_151	QOF98722.1|GT87	59.1	553	216	6	3	550	12	559	5.34e-238	671
APMar_Scaffold_7180000000040|quiver_182	CUS04494.2|GH39	59.9	1258	468	6	8	1231	4	1259	0.0	1439
APMar_Scaffold_7180000000041|quiver_24	QSX34227.1|CBM2	37.0	579	333	12	26	588	536	1098	1.49e-108	359
APMar_Scaffold_7180000000044|quiver_3	AGL64345.2|GT2	48.3	431	214	3	1	426	424	850	1.56e-135	415
APMar_Scaffold_7180000000039|quiver_58	QKX60855.1|GT22	60.8	286	109	2	2	284	574	859	2.16e-107	336
APMar_Scaffold_7180000000039|quiver_59	CAD7280782.1|GT2	64.9	348	119	2	21	367	1794	2139	6.56e-134	428
APMar_Scaffold_7180000000039|quiver_61	CAD7280782.1|GT2	61.3	351	122	2	43	392	1178	1515	6.26e-120	389
APMar_Scaffold_7180000000039|quiver_62	CAD7280782.1|GT2	62.5	775	264	1	182	929	384	1158	0.0	994
APMar_Scaffold_7180000000039|quiver_63	URI23168.1|GT51	72.5	233	60	3	4	233	6	237	2.63e-126	362
APMar_Scaffold_7180000000039|quiver_88	QYU68416.1|GT2	60.9	304	119	0	7	310	419	722	2.77e-116	358
APMar_Scaffold_7180000000039|quiver_106	ARM84462.1|GH73	100	329	0	0	1	329	1	329	9.51e-235	644
APMar_Scaffold_7180000000039|quiver_107	CAD7222057.1|GH73	61.0	346	134	1	11	355	206	551	3.31e-134	408
APMar_Scaffold_7180000000039|quiver_175	UPM44564.1|AA0	65.4	711	242	2	27	736	7	714	0.0	964
APMar_Scaffold_7180000000039|quiver_180	CAE6179499.1|GH152	38.7	705	334	16	37	656	71	762	2.28e-138	436
APMar_Scaffold_7180000000035|quiver_175	CAD7251071.1|GT51	66.3	350	117	1	4	353	215	563	3.65e-153	468
APMar_Scaffold_7180000000035|quiver_191	ARM83126.1|GT4	99.5	738	4	0	1	738	1	738	0.0	1465
APMar_Scaffold_7180000000035|quiver_372	AZR42118.1|GT51	100	228	0	0	1	228	1	228	1.06e-160	448
