HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH23.hmm	135	PolalgTG_Scaffold_7180000000002|quiver_1064	530	3.5e-18	4	105	183	303	0.7481481481481481
GH13_18.hmm	343	PolalgTG_Scaffold_7180000000002|quiver_1094	481	2.4e-109	2	343	36	370	0.9941690962099126
GH23.hmm	135	PolalgTG_Scaffold_7180000000002|quiver_1180	650	1.1e-23	17	118	499	619	0.7481481481481481
GT28.hmm	157	PolalgTG_Scaffold_7180000000002|quiver_1282	353	9e-44	2	157	180	337	0.9872611464968153
CE11.hmm	271	PolalgTG_Scaffold_7180000000002|quiver_1289	282	5.2e-102	23	270	1	251	0.9114391143911439
GT2.hmm	170	PolalgTG_Scaffold_7180000000002|quiver_1328	346	4.4e-30	1	166	12	175	0.9705882352941176
GT51.hmm	177	PolalgTG_Scaffold_7180000000002|quiver_1411	775	1.5e-54	10	174	154	322	0.9265536723163842
AA1.hmm	358	PolalgTG_Scaffold_7180000000002|quiver_1515	485	2.5e-30	10	136	104	226	0.35195530726256985
GH103.hmm	295	PolalgTG_Scaffold_7180000000002|quiver_1538	335	4.9e-80	20	294	48	326	0.9288135593220339
GT2.hmm	170	PolalgTG_Scaffold_7180000000002|quiver_1583	782	4e-19	3	166	194	373	0.9588235294117647
GT2.hmm	197	PolalgTG_Scaffold_7180000000002|quiver_1583	782	1.4e-19	1	182	288	500	0.9187817258883249
GH73.hmm	128	PolalgTG_Scaffold_7180000000002|quiver_1627	281	9.6e-35	3	125	141	272	0.953125
AA3_2.hmm	568	PolalgTG_Scaffold_7180000000002|quiver_1650	544	4.9e-172	2	568	2	531	0.9964788732394366
GT4.hmm	160	PolalgTG_Scaffold_7180000000002|quiver_1697	318	2.6e-27	4	116	135	242	0.7
GT4.hmm	160	PolalgTG_Scaffold_7180000000002|quiver_1725	371	4.2e-29	12	156	187	333	0.9
CE1.hmm	227	PolalgTG_Scaffold_7180000000002|quiver_1802	281	7.8e-51	1	224	24	276	0.9823788546255506
AA4.hmm	522	PolalgTG_Scaffold_7180000000002|quiver_1838	464	1.2e-18	14	237	5	218	0.4272030651340996
AA6.hmm	195	PolalgTG_Scaffold_7180000000002|quiver_1868	197	1.9e-66	2	194	4	193	0.9846153846153847
GH23.hmm	135	PolalgTG_Scaffold_7180000000002|quiver_1887	502	8.8e-26	12	126	308	460	0.8444444444444444
CE1.hmm	227	PolalgTG_Scaffold_7180000000002|quiver_22	293	1.4e-18	5	143	37	185	0.6079295154185022
GT2.hmm	170	PolalgTG_Scaffold_7180000000002|quiver_2217	284	1.8e-17	1	95	19	103	0.5529411764705883
GT9.hmm	225	PolalgTG_Scaffold_7180000000002|quiver_2218	332	8.9e-46	2	214	75	304	0.9422222222222222
PL14_3.hmm	190	PolalgTG_Scaffold_7180000000002|quiver_227	243	3e-63	2	190	45	235	0.9894736842105263
GH3.hmm	216	PolalgTG_Scaffold_7180000000002|quiver_2293	671	2.8e-67	3	216	35	255	0.9861111111111112
GH23.hmm	135	PolalgTG_Scaffold_7180000000002|quiver_2434	183	6.9e-21	7	123	73	178	0.8592592592592593
GH3.hmm	216	PolalgTG_Scaffold_7180000000002|quiver_2497	323	1.5e-52	10	216	61	286	0.9537037037037037
GT2.hmm	170	PolalgTG_Scaffold_7180000000002|quiver_2680	305	4.5e-18	2	150	10	165	0.8705882352941177
GT26.hmm	171	PolalgTG_Scaffold_7180000000002|quiver_2681	251	1e-53	4	171	52	225	0.9766081871345029
GT2.hmm	170	PolalgTG_Scaffold_7180000000002|quiver_2753	315	2.5e-17	1	131	4	135	0.7647058823529411
GT2.hmm	230	PolalgTG_Scaffold_7180000000002|quiver_2755	397	3.7e-20	3	228	45	269	0.9782608695652174
GH8.hmm	320	PolalgTG_Scaffold_7180000000002|quiver_2820	373	9.5e-73	1	318	24	352	0.990625
GT2.hmm	170	PolalgTG_Scaffold_7180000000002|quiver_2821	1484	1.3e-36	1	169	166	336	0.9882352941176471
GT20.hmm	475	PolalgTG_Scaffold_7180000000002|quiver_2926	771	2.4e-156	12	474	251	738	0.9726315789473684
GT19.hmm	354	PolalgTG_Scaffold_7180000000002|quiver_3241	382	1.2e-121	2	352	4	360	0.9887005649717514
GT2.hmm	170	PolalgTG_Scaffold_7180000000002|quiver_467	290	2.1e-18	1	109	4	112	0.6352941176470588
GT2.hmm	170	PolalgTG_Scaffold_7180000000002|quiver_472	284	5.4e-19	1	106	4	110	0.6176470588235294
CE19.hmm	332	PolalgTG_Scaffold_7180000000002|quiver_496	305	7.5e-16	56	189	8	135	0.4006024096385542
GT51.hmm	177	PolalgTG_Scaffold_7180000000002|quiver_662	811	9.8e-70	1	177	62	238	0.9943502824858758
AA3_2.hmm	568	PolalgTG_Scaffold_7180000000002|quiver_761	545	1.6e-149	2	568	14	542	0.9964788732394366
AA4.hmm	522	PolalgTG_Scaffold_7180000000002|quiver_801	525	2.6e-219	4	516	4	517	0.9808429118773946
AA4.hmm	522	PolalgTG_Scaffold_7180000000002|quiver_806	457	4.4e-76	15	280	2	264	0.5076628352490421
GT51.hmm	177	PolalgTG_Scaffold_7180000000002|quiver_837	267	5.9e-55	12	176	92	255	0.9265536723163842
GT2.hmm	170	PolalgTG_Scaffold_7180000000002|quiver_906	321	1.3e-28	1	128	21	147	0.7470588235294118
GT2.hmm	170	PolalgTG_Scaffold_7180000000002|quiver_915	257	7.6e-20	1	106	6	100	0.6176470588235294
GT30.hmm	177	PolalgTG_Scaffold_7180000000002|quiver_918	420	1e-66	2	176	33	208	0.9830508474576272
GH5_39.hmm	293	PolalgTG_Scaffold_7180000000002|quiver_97	380	5.9e-86	5	293	69	349	0.9829351535836177
CE1.hmm	227	PolalgTG_Scaffold_7180000000002|quiver_997	466	6.2e-48	1	225	77	343	0.986784140969163
