Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
PolalgTG_Scaffold_7180000000002|quiver_51	QEO97765.1|GH28	79.8	262	53	0	1	262	1	262	2.00e-142	429
PolalgTG_Scaffold_7180000000002|quiver_67	CAD7245033.1|GT58	67.3	474	143	5	2	465	1053	1524	5.12e-199	609
PolalgTG_Scaffold_7180000000002|quiver_149	AHC21644.2|GH1	51.8	512	243	2	11	521	15	523	1.52e-184	533
PolalgTG_Scaffold_7180000000002|quiver_324	CDM22846.1|GT51	57.6	413	172	1	4	413	895	1307	2.55e-148	458
PolalgTG_Scaffold_7180000000002|quiver_379	CAD7226128.1|GH38	37.1	719	385	15	11	687	1345	2038	2.80e-126	419
PolalgTG_Scaffold_7180000000002|quiver_382	CCO12868.2|GH1	46.2	1395	496	12	14	1362	3	1188	0.0	1166
PolalgTG_Scaffold_7180000000002|quiver_467	QKX16169.1|GT2	70.3	279	83	0	1	279	1	279	1.06e-145	415
PolalgTG_Scaffold_7180000000002|quiver_472	QIL91231.1|GT2	62.2	275	104	0	1	275	1	275	2.39e-123	358
PolalgTG_Scaffold_7180000000002|quiver_473	APA99577.1|GH0	61.0	354	137	1	10	362	8	361	1.22e-146	447
PolalgTG_Scaffold_7180000000002|quiver_486	AKG14948.2|GT28	41.1	727	359	19	33	735	17	698	5.82e-156	474
PolalgTG_Scaffold_7180000000002|quiver_605	QCE13289.1|CE8	47.7	413	186	3	3	391	406	812	1.49e-118	380
PolalgTG_Scaffold_7180000000002|quiver_662	ULQ47861.1|GT51	54.4	792	311	10	16	788	20	780	2.38e-265	759
PolalgTG_Scaffold_7180000000002|quiver_761	QWC20507.1|AA3_2	38.7	527	317	4	15	541	6	526	2.12e-112	349
PolalgTG_Scaffold_7180000000002|quiver_801	UPK89995.1|AA4	45.7	540	267	4	5	518	12	551	3.24e-175	510
PolalgTG_Scaffold_7180000000002|quiver_879	QPK65345.1|GT1	56.5	356	143	4	8	359	429	776	1.26e-125	384
PolalgTG_Scaffold_7180000000002|quiver_906	ULQ47935.1|GT2	62.5	299	112	0	20	318	9	307	1.33e-132	384
PolalgTG_Scaffold_7180000000002|quiver_911	QAY63367.1|GT2	59.0	283	115	1	2	284	315	596	6.55e-113	343
PolalgTG_Scaffold_7180000000002|quiver_914	QWA11134.1|GT2	52.3	329	149	3	7	328	289	616	8.58e-110	338
PolalgTG_Scaffold_7180000000002|quiver_915	ULQ47933.1|GT2	65.8	257	85	3	2	256	7	262	3.75e-121	350
PolalgTG_Scaffold_7180000000002|quiver_918	ULQ47930.1|GT30	60.6	419	165	0	1	419	1	419	7.56e-168	482
PolalgTG_Scaffold_7180000000002|quiver_1003	APA99577.1|GH0	56.4	351	152	1	9	358	8	358	6.05e-129	401
PolalgTG_Scaffold_7180000000002|quiver_1013	ALR09732.2|GH92	43.8	739	380	11	5	715	2	733	3.27e-181	539
PolalgTG_Scaffold_7180000000002|quiver_1027	CUS04494.2|GH39	59.3	1289	461	10	1	1255	1	1259	0.0	1448
PolalgTG_Scaffold_7180000000002|quiver_1043	QMU60231.1|CBM50	45.3	362	197	1	99	460	139	499	7.94e-104	323
PolalgTG_Scaffold_7180000000002|quiver_1063	CCA14548.1|GT2	57.0	309	132	1	2	309	443	751	2.91e-117	360
PolalgTG_Scaffold_7180000000002|quiver_1064	ULQ48178.1|CBM50|GH23	51.9	497	230	2	31	527	48	535	7.32e-175	508
PolalgTG_Scaffold_7180000000002|quiver_1094	ULQ47179.1|GH13_18	81.8	479	87	0	1	479	1	479	6.62e-300	821
PolalgTG_Scaffold_7180000000002|quiver_1145	ULQ48247.1|GT1	84.2	379	53	3	1	373	1	378	6.48e-236	650
PolalgTG_Scaffold_7180000000002|quiver_1160	APA99577.1|GH0	56.1	351	153	1	9	358	8	358	1.67e-128	400
PolalgTG_Scaffold_7180000000002|quiver_1171	ULQ45099.1|CBM50	67.4	322	104	1	65	385	61	382	1.04e-158	456
PolalgTG_Scaffold_7180000000002|quiver_1180	ULQ45108.1|GH23	56.2	632	272	2	15	646	5	631	3.42e-251	711
PolalgTG_Scaffold_7180000000002|quiver_1233	APA99577.1|GH0	56.1	351	153	1	9	358	8	358	1.67e-128	400
PolalgTG_Scaffold_7180000000002|quiver_1255	UBB15703.1|GT4	65.6	352	112	4	1	343	62	413	6.15e-165	471
PolalgTG_Scaffold_7180000000002|quiver_1281	AZC46349.1|GT28	49.7	358	178	2	19	375	22	378	1.70e-103	327
PolalgTG_Scaffold_7180000000002|quiver_1282	ULQ47102.1|GT28	65.6	349	120	0	1	349	1	349	5.99e-145	418
PolalgTG_Scaffold_7180000000002|quiver_1289	ULQ47095.1|CE11	75.4	281	68	1	1	280	26	306	2.12e-151	430
PolalgTG_Scaffold_7180000000002|quiver_1328	ULQ46831.1|GT2	66.5	328	107	3	11	337	6	331	3.17e-143	413
PolalgTG_Scaffold_7180000000002|quiver_1348	AGL63717.2|GT4	42.5	636	304	9	173	751	107	737	1.75e-158	482
PolalgTG_Scaffold_7180000000002|quiver_1356	AGL63871.2|GT2	44.2	477	233	5	283	759	528	971	2.01e-112	370
PolalgTG_Scaffold_7180000000002|quiver_1411	ULQ45785.1|GT51	71.0	765	219	2	2	766	16	777	0.0	1106
PolalgTG_Scaffold_7180000000002|quiver_1425	QEO97765.1|GH28	79.8	262	53	0	1	262	1	262	2.00e-142	429
PolalgTG_Scaffold_7180000000002|quiver_1517	QBQ55156.1|CBM50	39.0	666	383	8	119	782	60	704	1.02e-128	411
PolalgTG_Scaffold_7180000000002|quiver_1538	ULQ45490.1|GH103	65.5	322	107	2	12	329	9	330	1.55e-141	408
PolalgTG_Scaffold_7180000000002|quiver_1539	CAD7221988.1|GH103	54.2	358	163	1	13	369	621	978	2.20e-116	371
PolalgTG_Scaffold_7180000000002|quiver_1540	CAD7221988.1|GH103	45.3	612	331	3	3	613	8	616	4.31e-170	524
PolalgTG_Scaffold_7180000000002|quiver_1583	AXQ30319.1|GT2	64.0	756	257	5	26	771	87	837	0.0	910
PolalgTG_Scaffold_7180000000002|quiver_1626	CAD7222057.1|GH73	59.8	351	134	5	24	372	206	551	2.73e-121	375
PolalgTG_Scaffold_7180000000002|quiver_1642	QYU68416.1|GT2	61.2	317	122	1	1	317	411	726	6.74e-120	368
PolalgTG_Scaffold_7180000000002|quiver_1650	QWC20507.1|AA3_2	49.4	541	267	5	2	542	5	538	1.91e-177	516
PolalgTG_Scaffold_7180000000002|quiver_1671	QYO62262.1|GH13	66.1	369	121	2	3	368	2	369	2.11e-152	449
PolalgTG_Scaffold_7180000000002|quiver_1692	AVI59029.1|GT2	41.1	443	248	7	1	442	1	431	2.17e-103	319
PolalgTG_Scaffold_7180000000002|quiver_1704	VEJ19452.1|GT4	64.0	336	119	2	4	338	372	706	2.31e-141	421
PolalgTG_Scaffold_7180000000002|quiver_1707	QSP94469.1|GT4	57.0	381	164	0	2	382	3	383	1.36e-149	433
PolalgTG_Scaffold_7180000000002|quiver_1708	BAO31153.1|GT2	55.2	310	138	1	2	311	307	615	5.95e-105	324
PolalgTG_Scaffold_7180000000002|quiver_1725	UEX76750.1|GT4	49.4	362	180	1	9	367	1	362	2.54e-109	329
PolalgTG_Scaffold_7180000000002|quiver_1772	APA99577.1|GH0	56.1	351	153	1	9	358	8	358	1.67e-128	400
PolalgTG_Scaffold_7180000000002|quiver_1773	APA99577.1|GH0	56.1	351	153	1	9	358	8	358	1.67e-128	400
PolalgTG_Scaffold_7180000000002|quiver_1849	CAD7280782.1|GT2	54.9	346	153	2	21	365	1794	2137	1.45e-108	355
PolalgTG_Scaffold_7180000000002|quiver_1850	QKX60855.1|GT22	65.0	283	96	2	2	281	574	856	8.69e-110	342
PolalgTG_Scaffold_7180000000002|quiver_1882	AMJ20771.1|GH13_26	55.1	899	355	8	10	903	5	859	0.0	962
PolalgTG_Scaffold_7180000000002|quiver_1887	ULQ46714.1|GH23	54.3	475	214	2	30	501	26	500	1.04e-173	503
PolalgTG_Scaffold_7180000000002|quiver_1949	CAE6153416.1|PL4_2	49.0	343	170	5	7	347	595	934	1.87e-103	330
PolalgTG_Scaffold_7180000000002|quiver_2008	ALR08738.2|GT83	51.8	591	269	8	14	597	1	582	1.21e-203	587
PolalgTG_Scaffold_7180000000002|quiver_2011	AMJ20543.1|GH13_11	54.9	401	179	1	19	419	11	409	1.61e-144	422
PolalgTG_Scaffold_7180000000002|quiver_2021	QOF98722.1|GT87	59.5	551	216	4	5	551	12	559	1.94e-238	672
PolalgTG_Scaffold_7180000000002|quiver_2072	CAD7280782.1|GT2	52.0	787	336	8	146	901	390	1165	9.24e-265	815
PolalgTG_Scaffold_7180000000002|quiver_2073	CAD7280782.1|GT2	54.3	348	147	3	43	388	1178	1515	8.41e-106	348
PolalgTG_Scaffold_7180000000002|quiver_2103	AWP05996.1|GT25	38.5	576	329	10	45	600	75	645	1.44e-113	374
PolalgTG_Scaffold_7180000000002|quiver_2118	QEO97765.1|GH28	79.4	262	54	0	1	262	1	262	5.60e-142	427
PolalgTG_Scaffold_7180000000002|quiver_2261	APA99577.1|GH0	56.1	351	153	1	9	358	8	358	1.19e-128	400
PolalgTG_Scaffold_7180000000002|quiver_2263	APA99577.1|GH0	56.1	351	153	1	9	358	8	358	1.67e-128	400
PolalgTG_Scaffold_7180000000002|quiver_2273	UKZ91289.1|AA0	61.9	738	251	5	30	740	16	750	0.0	920
PolalgTG_Scaffold_7180000000002|quiver_2289	QEO97765.1|GH28	79.4	262	54	0	1	262	1	262	3.97e-142	428
PolalgTG_Scaffold_7180000000002|quiver_2293	QHS11258.1|GH3	56.1	676	285	5	1	666	58	731	2.42e-259	737
PolalgTG_Scaffold_7180000000002|quiver_2369	QEO97765.1|GH28	79.4	262	54	0	1	262	1	262	5.60e-142	427
PolalgTG_Scaffold_7180000000002|quiver_2435	AGL64353.2|CBM50|GH25	42.9	573	313	8	1	564	1	568	1.01e-158	470
PolalgTG_Scaffold_7180000000002|quiver_2439	AGL64700.2|GH23	50.4	353	174	1	7	358	6	358	5.33e-113	338
PolalgTG_Scaffold_7180000000002|quiver_2497	ULQ46562.1|GH3	80.3	314	62	0	6	319	6	319	8.71e-178	499
PolalgTG_Scaffold_7180000000002|quiver_2508	CAN65674.1|GH28	46.1	557	276	7	58	611	95	630	2.08e-157	490
PolalgTG_Scaffold_7180000000002|quiver_2552	QKQ26241.1|CBM50	49.9	385	175	5	11	382	8	387	1.24e-118	356
PolalgTG_Scaffold_7180000000002|quiver_2576	CAG7911095.1|GH5_11	37.4	993	483	26	3	978	582	1452	1.37e-203	630
PolalgTG_Scaffold_7180000000002|quiver_2597	UKZ91289.1|AA0	63.4	756	249	6	1	734	1	750	0.0	961
PolalgTG_Scaffold_7180000000002|quiver_2620	APA99577.1|GH0	61.0	354	137	1	10	362	8	361	1.22e-146	447
PolalgTG_Scaffold_7180000000002|quiver_2680	BBB67205.1|GT2	65.7	286	98	0	4	289	14	299	7.01e-137	394
PolalgTG_Scaffold_7180000000002|quiver_2755	AEI63750.1|GT2	49.9	409	186	8	2	396	8	411	2.65e-104	319
PolalgTG_Scaffold_7180000000002|quiver_2759	AGL63717.2|GT4	46.8	679	286	10	161	839	107	710	1.65e-183	550
PolalgTG_Scaffold_7180000000002|quiver_2804	APA99577.1|GH0	56.1	351	153	1	9	358	8	358	1.67e-128	400
PolalgTG_Scaffold_7180000000002|quiver_2821	BBB65839.1|GT2	48.3	1472	706	9	53	1478	48	1510	0.0	1370
PolalgTG_Scaffold_7180000000002|quiver_2829	APA99577.1|GH0	56.1	351	153	1	9	358	8	358	1.19e-128	400
PolalgTG_Scaffold_7180000000002|quiver_2894	AKG15280.2|GH103	64.1	490	172	4	1	488	1	488	1.37e-220	622
PolalgTG_Scaffold_7180000000002|quiver_2926	ULQ46513.1|GT20	74.6	735	186	1	1	734	1	735	0.0	1130
PolalgTG_Scaffold_7180000000002|quiver_2965	QYU66396.1|GH13_23	51.1	466	202	9	10	464	6	456	2.66e-118	369
PolalgTG_Scaffold_7180000000002|quiver_3009	ALR08391.2|GT4	54.2	330	141	1	1	320	1	330	5.76e-112	335
PolalgTG_Scaffold_7180000000002|quiver_3067	CAE6204650.1|GH28	49.8	598	292	4	8	598	747	1343	5.87e-193	583
PolalgTG_Scaffold_7180000000002|quiver_3085	CAE6179499.1|GH152	35.3	689	335	15	16	604	81	758	6.55e-121	389
PolalgTG_Scaffold_7180000000002|quiver_3143	CAE6201330.1|GH1	54.1	653	290	4	2	644	561	1213	3.49e-245	716
PolalgTG_Scaffold_7180000000002|quiver_3173	ALR09738.2|GH18	56.1	394	171	2	7	399	6	398	1.94e-138	412
PolalgTG_Scaffold_7180000000002|quiver_3174	APA99577.1|GH0	56.1	351	153	1	9	358	8	358	1.67e-128	400
PolalgTG_Scaffold_7180000000002|quiver_3226	CCO12112.2|GH13_31	62.9	439	146	5	1	433	1	428	2.50e-176	504
PolalgTG_Scaffold_7180000000002|quiver_3239	AWZ17133.1|GH13_30	34.5	1138	654	21	2	1089	404	1500	1.66e-190	604
PolalgTG_Scaffold_7180000000002|quiver_3241	ULQ46127.1|GT19	66.9	378	125	0	1	378	1	378	2.21e-168	480
PolalgTG_Scaffold_7180000000002|quiver_3275	CAD7252417.1|GH13	40.1	576	320	8	137	693	345	914	2.70e-115	385
PolalgTG_Scaffold_7180000000002|quiver_3279	AGL64345.2|GT2	46.9	595	302	5	307	891	265	855	2.13e-168	516
