HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT90.hmm	250	APMar_Scaffold_7180000000032|quiver_1076	335	4e-19	59	245	151	318	0.744
CBM41.hmm	102	APMar_Scaffold_7180000000032|quiver_1537	1052	4.3e-22	1	96	50	153	0.9313725490196079
GH13_13.hmm	361	APMar_Scaffold_7180000000032|quiver_1537	1052	2.1e-156	1	361	451	869	0.997229916897507
GH13_19.hmm	360	APMar_Scaffold_7180000000032|quiver_1567	608	1.8e-156	1	360	149	527	0.9972222222222222
GH13_23.hmm	344	APMar_Scaffold_7180000000032|quiver_1572	537	1.7e-161	1	343	29	375	0.9941860465116279
CE4.hmm	130	APMar_Scaffold_7180000000032|quiver_1613	345	9.7e-24	7	121	80	207	0.8769230769230769
GT4.hmm	160	APMar_Scaffold_7180000000032|quiver_1721	649	9e-25	11	124	183	298	0.70625
GT2.hmm	197	APMar_Scaffold_7180000000032|quiver_1729	704	1.5e-17	1	193	206	398	0.9746192893401016
CE4.hmm	130	APMar_Scaffold_7180000000032|quiver_1746	302	4.9e-24	21	126	39	148	0.8076923076923077
GT2.hmm	170	APMar_Scaffold_7180000000032|quiver_1747	386	5.1e-25	1	119	46	166	0.6941176470588235
GT4.hmm	160	APMar_Scaffold_7180000000032|quiver_1748	375	1e-31	10	154	198	340	0.9
GT4.hmm	160	APMar_Scaffold_7180000000032|quiver_1749	369	7.7e-39	9	160	187	335	0.94375
GT2.hmm	170	APMar_Scaffold_7180000000032|quiver_1751	296	1.8e-37	1	168	8	167	0.9823529411764705
CE4.hmm	130	APMar_Scaffold_7180000000032|quiver_1752	325	2e-34	5	127	77	284	0.9384615384615385
GT2.hmm	170	APMar_Scaffold_7180000000032|quiver_1759	336	1.8e-31	1	129	12	135	0.7529411764705882
CBM57.hmm	147	APMar_Scaffold_7180000000032|quiver_1760	2692	1.3e-34	3	147	41	183	0.9795918367346939
CBM57.hmm	147	APMar_Scaffold_7180000000032|quiver_1760	2692	2.3e-38	4	146	271	411	0.9659863945578231
CBM57.hmm	147	APMar_Scaffold_7180000000032|quiver_1760	2692	2.7e-36	2	147	519	662	0.9863945578231292
