Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_12	CAD7252417.1|GH13	44.2	579	299	11	132	695	345	914	3.20e-124	410
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_22	ALG91560.1|GH23	80.6	191	37	0	1	191	1	191	8.06e-113	324
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_24	AGL63871.2|GT2	41.9	511	253	8	414	922	514	982	7.95e-112	372
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_40	AMJ20771.1|GH13_26	44.7	868	445	14	3	847	4	859	4.27e-248	719
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_83	AXG45674.1|GH6	40.8	903	501	7	1	898	1	874	2.33e-214	636
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_98	QHA15002.1|GT0	36.0	706	424	11	1	692	4	695	2.14e-103	337
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_126	ARE40717.1|GT2	77.2	237	54	0	1	237	1	237	5.34e-131	374
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_147	AVI59029.1|GT2	46.6	438	223	8	1	434	1	431	9.42e-124	371
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_251	ALG88861.1|GH102	72.0	336	94	0	1	336	5	340	4.24e-176	496
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_300	QIE44002.1|GT4	79.9	403	81	0	9	411	1	403	9.11e-242	668
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_302	AGN91810.2|GT4	40.8	471	272	3	1	466	1	469	6.28e-124	374
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_314	ALG91710.1|GT2	64.1	276	99	0	9	284	1	276	3.28e-130	375
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_322	AGL64345.2|GT2	49.1	591	290	4	246	827	267	855	4.55e-171	521
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_339	ADN17640.1|GT2	52.3	321	150	1	9	326	11	331	3.66e-106	330
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_340	AVW92478.1|GT0	58.8	328	135	0	23	350	11	338	1.12e-139	404
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_341	QRD51910.1|GT0	66.7	336	112	0	1	336	1	336	1.25e-169	479
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_342	ALG88921.1|GT14	66.2	547	185	0	1	547	1	547	8.63e-272	757
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_361	ALG91707.1|GT51	76.9	212	47	1	33	242	2	213	6.49e-114	330
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_363	QYU66445.1|GT4	61.0	341	130	3	2	340	10	349	7.92e-135	412
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_380	QDY70956.1|GT2	54.9	337	142	3	7	333	7	343	6.68e-116	345
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_397	ALG89024.1|GH103	77.9	416	85	2	24	439	26	434	2.00e-236	657
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_576	AEI92742.1|GH13_18	73.4	576	153	0	2	577	6	581	0.0	896
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_577	QRF67505.1|GT81	76.3	410	97	0	1	410	1	410	1.48e-236	655
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_581	ABF62823.1|PL0	64.6	548	192	1	32	579	29	574	2.93e-247	696
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_582	QYU66396.1|GH13_23	59.7	452	179	3	5	454	4	454	3.79e-169	499
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_612	AGL63717.2|GT4	46.4	673	294	8	161	832	107	713	8.02e-182	546
APOce_Scaffold_7180000000010|quiver_dupTrim=3297_663	ATE86697.1|GH36	51.3	513	225	2	8	520	719	1206	9.82e-165	504
