Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
APMar_Scaffold_7180000000032|quiver_1076	-	GT90(151-318)	GT90_e1	-	N	2
APMar_Scaffold_7180000000032|quiver_1537	3.2.1.41:5|3.2.1.1:4|3.2.1.41:28|3.2.1.68:4|3.2.1.41:2	CBM41(50-153)+GH13_13(451-869)	CBM41_e2+CBM48_e30+GH13_e108	CBM41+CBM48+GH13_13	Y(1-19)	3
APMar_Scaffold_7180000000032|quiver_1567	3.2.1.-:1|3.2.1.1:1	GH13_19(149-527)	GH13_e62	GH13_19	Y(1-27)	3
APMar_Scaffold_7180000000032|quiver_1572	3.2.1.20:1	GH13_23(29-375)	GH13_e140	GH13_23	N	3
APMar_Scaffold_7180000000032|quiver_1613	-	CE4(80-207)	CE4_e95	-	Y(1-25)	2
APMar_Scaffold_7180000000032|quiver_1721	-	GT4(183-298)	GT4_e3127	GT4	N	3
APMar_Scaffold_7180000000032|quiver_1729	-	GT2(206-398)	GT2	GT2	N	3
APMar_Scaffold_7180000000032|quiver_1746	-	CE4(39-148)	CE4_e165	-	N	2
APMar_Scaffold_7180000000032|quiver_1747	-	GT2(46-166)	GT2	GT2	N	3
APMar_Scaffold_7180000000032|quiver_1748	-	GT4(198-340)	GT4_e2646	GT4	N	3
APMar_Scaffold_7180000000032|quiver_1749	-	GT4(187-335)	GT4_e2064	GT4	N	3
APMar_Scaffold_7180000000032|quiver_1751	-	GT2(8-167)	GT2	GT2	N	3
APMar_Scaffold_7180000000032|quiver_1752	-	CE4(77-284)	CE4_e247	-	N	2
APMar_Scaffold_7180000000032|quiver_1759	-	GT2(12-135)	GT2	-	N	2
APMar_Scaffold_7180000000032|quiver_1760	-|-|-|-|-	CBM57(41-183)+CBM57(271-411)+CBM57(519-662)+CBM57(773-914)+AA5_2(1205-1676)	CBM57_e27+CBM57_e27+CBM57_e15+CBM57_e27+AA5_e0	CBM57	Y(1-32)	3
APMar_Scaffold_7180000000032|quiver_1763	-	GT2(9-119)	GT2	GT2	N	3
APMar_Scaffold_7180000000032|quiver_1854	-|-|-|-	GH23(113-252)	GH23_e418+CBM50_e496+CBM50_e496+CBM50_e496	CBM50+GH23	N	3
APMar_Scaffold_7180000000032|quiver_211	-	CE1(23-273)	-	-	N	1
APMar_Scaffold_7180000000032|quiver_221	-	GT4(316-475)	GT4_e324	GT4	N	3
