dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT4_e3127	GT4:14	-	-	144	APMar_Scaffold_7180000000032|quiver_1721	649	6.3e-64	1	142	184	325	0.9791666666666666	0.9791666666666666
GT2	GT2:22	-	-	194	APMar_Scaffold_7180000000032|quiver_1747	386	7.4e-90	1	193	130	322	0.9896907216494846	0.9896907216494846
CBM57_e27	CBM57:7	-	glycosidases	141	APMar_Scaffold_7180000000032|quiver_1760	2692	4e-42	2	141	47	184	0.9858156028368794	0.9858156028368794
CBM57_e27	CBM57:7	-	glycosidases	141	APMar_Scaffold_7180000000032|quiver_1760	2692	1.9e-43	2	141	276	413	0.9858156028368794	0.9858156028368794
CBM57_e15	CBM57:7|CBM6:4	-	glycosidases	144	APMar_Scaffold_7180000000032|quiver_1760	2692	1.9e-41	2	143	521	662	0.9791666666666666	0.9791666666666666
CBM57_e27	CBM57:7	-	glycosidases	141	APMar_Scaffold_7180000000032|quiver_1760	2692	7.6e-41	4	141	781	916	0.9716312056737588	0.9716312056737588
AA5_e0	AA5_2:220|CBM13:216|AA5:10|CBM42:3|CBM6:1|CBM32:1	-	-	587	APMar_Scaffold_7180000000032|quiver_1760	2692	1.2e-140	113	586	1205	1676	0.8057921635434412	0.8057921635434412
GH23_e418	GH23:743|CBM50:612	-	-	141	APMar_Scaffold_7180000000032|quiver_1854	540	6.7e-68	1	139	117	255	0.9787234042553191	0.9787234042553191
CBM50_e496	CBM50:345|GH23:335	-	chitin, peptidoglycan	43	APMar_Scaffold_7180000000032|quiver_1854	540	5.4e-16	1	43	346	387	0.9767441860465116	0.9767441860465116
CBM50_e496	CBM50:345|GH23:335	-	chitin, peptidoglycan	43	APMar_Scaffold_7180000000032|quiver_1854	540	2e-20	1	43	423	465	0.9767441860465116	0.9767441860465116
CBM50_e496	CBM50:345|GH23:335	-	chitin, peptidoglycan	43	APMar_Scaffold_7180000000032|quiver_1854	540	2.2e-17	1	43	490	532	0.9767441860465116	0.9767441860465116
GT2	GT2:49	2.4.1.33:1	-	257	APMar_Scaffold_7180000000032|quiver_339	495	1.8e-140	1	257	88	344	0.9961089494163424	0.9961089494163424
GT32_e7	GT32:29	-	-	71	APMar_Scaffold_7180000000032|quiver_699	216	1.7e-40	1	71	8	78	0.9859154929577465	0.9859154929577465
GT4_e1776	GT4:25	-	-	150	APMar_Scaffold_7180000000032|quiver_712	372	9.4e-74	1	148	189	336	0.98	0.98
GH103_e29	GH103:1315	-	-	287	APMar_Scaffold_7180000000032|quiver_873	342	1.8e-117	1	286	38	323	0.9930313588850174	0.9930313588850174
AA1_e26	AA1_2:421|AA1:7	1.10.3.2:1	lignin	394	APMar_Scaffold_7180000000033|quiver_106	525	8.7e-23	10	220	97	317	0.5329949238578681	0.5329949238578681
GT2	GT2:28	-	-	211	APMar_Scaffold_7180000000033|quiver_164	248	7.3e-86	1	210	20	228	0.990521327014218	0.990521327014218
AA6_e2	AA6:22	-	-	195	APMar_Scaffold_7180000000033|quiver_233	201	2.1e-50	2	195	9	198	0.9897435897435898	0.9897435897435898
GH13_e237	GH13_18:242	-	sucrose	341	APMar_Scaffold_7180000000033|quiver_24	577	1.4e-175	1	341	88	429	0.9970674486803519	0.9970674486803519
AA1_e26	AA1_2:421|AA1:7	1.10.3.2:1	lignin	394	APMar_Scaffold_7180000000033|quiver_84	629	3e-49	2	229	60	324	0.5761421319796954	0.5761421319796954
AA1_e33	AA1_1:698|AA1:86|CE4:1	1.10.3.2:77	lignin	353	APMar_Scaffold_7180000000033|quiver_84	629	7.3e-17	167	351	243	601	0.5212464589235127	0.5212464589235127
GH23_e824	GH23:102	-	-	155	APMar_Scaffold_7180000000034|quiver_541	459	9.4e-79	3	154	302	453	0.9741935483870968	0.9741935483870968
GH73_e151	GH73:547	-	-	128	APMar_Scaffold_7180000000035|quiver_600	309	4.5e-58	2	127	137	262	0.9765625	0.9765625
CE4_e95	CE4:10|GH153:1|GT2:1	-	-	150	APMar_Scaffold_7180000000032|quiver_1613	345	2.4e-20	7	145	83	208	0.92	0.92
GT2	GT2:630	-	-	347	APMar_Scaffold_7180000000032|quiver_1729	704	7.9e-141	3	342	109	450	0.9769452449567724	0.9769452449567724
GT4_e2064	GT4:9	-	-	150	APMar_Scaffold_7180000000032|quiver_1749	369	9.2e-71	3	150	188	335	0.98	0.98
AA5_e0	AA5_2:220|CBM13:216|AA5:10|CBM42:3|CBM6:1|CBM32:1	-	-	587	APMar_Scaffold_7180000000032|quiver_461	755	5.7e-43	341	586	454	723	0.41737649063032367	0.41737649063032367
GT28_e46	GT28:8561	2.4.1.227:11	-	160	APMar_Scaffold_7180000000032|quiver_832	362	1.2e-65	1	159	187	347	0.9875	0.9875
GT4_e1295	GT4:177|GT2:1	-	-	141	APMar_Scaffold_7180000000032|quiver_970	424	1.4e-61	2	139	237	374	0.9716312056737588	0.9716312056737588
CBM50_e333	CBM50:30	-	chitin, peptidoglycan	43	APMar_Scaffold_7180000000033|quiver_249	329	1.9e-25	1	43	104	146	0.9767441860465116	0.9767441860465116
GT4_e735	GT4:64	-	-	121	APMar_Scaffold_7180000000033|quiver_25	371	4.2e-52	2	120	193	311	0.9752066115702479	0.9752066115702479
AA3_e57	AA3_2:11	-	-	532	APMar_Scaffold_7180000000034|quiver_571	556	7.1e-164	1	530	13	551	0.9943609022556391	0.9943609022556391
GH84_e12	GH84:51	-	-	293	APMar_Scaffold_7180000000034|quiver_92	358	1.9e-150	1	293	9	301	0.9965870307167235	0.9965870307167235
GT2	GT2:136|GT32:1	-	-	161	APMar_Scaffold_7180000000035|quiver_612	289	2e-57	1	153	5	158	0.9440993788819876	0.9440993788819876
GT4_e2559	GT4:17	-	-	144	APMar_Scaffold_7180000000035|quiver_631	397	2.5e-24	2	144	225	361	0.9861111111111112	0.9861111111111112
CBM41_e2	CBM41:1655|GH13_13:1590|CBM48:1588|GH13:301|GH13_37:75|CBM69:14|GH13_5:1|CBM20:1	3.2.1.41:5|3.2.1.1:4	beta-glucan	100	APMar_Scaffold_7180000000032|quiver_1537	1052	2.4e-29	2	97	52	157	0.95	0.95
CBM48_e30	CBM48:1983|GH13_13:1971|CBM41:1588|GH13:334|GH13_37:76|CBM69:14|GH13_32:4|GH13_5:3|CBM34:1|GH13_20:1|CBM20:1	3.2.1.41:28|3.2.1.68:4	glycogen	108	APMar_Scaffold_7180000000032|quiver_1537	1052	5.2e-26	14	107	285	378	0.8611111111111112	0.8611111111111112
GH13_e108	GH13_13:161|CBM48:148|CBM41:117|CBM69:2|GH13:1	3.2.1.41:2	sucrose, starch	411	APMar_Scaffold_7180000000032|quiver_1537	1052	8.4e-198	1	411	452	870	0.9975669099756691	0.9975669099756691
GH13_e140	GH13_23:660|GH13:8|GH13_17:7|GH13_36:2|GH13_31:1	3.2.1.20:1	sucrose, starch	349	APMar_Scaffold_7180000000032|quiver_1572	537	2.9e-174	1	348	30	375	0.994269340974212	0.994269340974212
PL5_e7	PL5:4|PL5_1:1	-	-	304	APMar_Scaffold_7180000000032|quiver_348	395	8.9e-162	1	304	40	342	0.9967105263157895	0.9967105263157895
GT51_e15	GT51:575	-	-	172	APMar_Scaffold_7180000000032|quiver_586	789	5.1e-83	1	171	183	353	0.9883720930232558	0.9883720930232558
GT9_e54	GT9:1176	-	-	228	APMar_Scaffold_7180000000032|quiver_694	354	4.9e-94	1	227	80	307	0.9912280701754386	0.9912280701754386
GT30_e0	GT30:6984|GT2:1	2.4.99.-:25	-	177	APMar_Scaffold_7180000000032|quiver_715	423	1.1e-72	1	176	35	210	0.9887005649717514	0.9887005649717514
GT51_e153	GT51:4623	-	-	175	APMar_Scaffold_7180000000032|quiver_744	829	6.5e-83	1	175	60	234	0.9942857142857143	0.9942857142857143
GT81_e1	GT81:626	-	-	206	APMar_Scaffold_7180000000033|quiver_23	407	2.6e-111	2	205	117	320	0.9854368932038835	0.9854368932038835
CBM50_e367	CBM50:789	-	chitin, peptidoglycan	47	APMar_Scaffold_7180000000034|quiver_628	339	3.9e-28	1	46	34	79	0.9574468085106383	0.9574468085106383
CE1_e41	CE1:124	-	-	204	APMar_Scaffold_7180000000035|quiver_370	581	4.6e-29	4	202	55	254	0.9705882352941176	0.9705882352941176
GT4_e1921	GT4:20	-	-	136	APMar_Scaffold_7180000000035|quiver_633	391	1.4e-57	1	135	210	344	0.9852941176470589	0.9852941176470589
GH13_e62	GH13_19:166|CBM26:16|CBM25:10|CBM74:4|GH13:2|CBM48:1	3.2.1.-:1|3.2.1.1:1	sucrose, starch, starch	378	APMar_Scaffold_7180000000032|quiver_1567	608	3.1e-173	1	377	150	527	0.9947089947089947	0.9947089947089947
CE4_e165	CE4:52	-	-	117	APMar_Scaffold_7180000000032|quiver_1746	302	2.1e-22	14	103	39	129	0.7606837606837606	0.7606837606837606
GT4_e2646	GT4:15	-	-	145	APMar_Scaffold_7180000000032|quiver_1748	375	2e-55	3	143	199	339	0.9655172413793104	0.9655172413793104
GT2	GT2:8	-	-	139	APMar_Scaffold_7180000000032|quiver_1751	296	6.4e-61	1	139	9	164	0.9928057553956835	0.9928057553956835
GT2	GT2:23	-	-	249	APMar_Scaffold_7180000000032|quiver_1759	336	4.9e-50	1	233	13	271	0.9317269076305221	0.9317269076305221
GT2	GT2:26|GT4:2	-	-	202	APMar_Scaffold_7180000000032|quiver_1763	324	1e-42	1	201	10	229	0.9900990099009901	0.9900990099009901
GT4_e324	GT4:176	-	-	159	APMar_Scaffold_7180000000032|quiver_221	507	1.7e-73	2	158	318	474	0.9811320754716981	0.9811320754716981
GT83_e58	GT83:710	-	-	387	APMar_Scaffold_7180000000032|quiver_703	491	7.6e-141	5	383	8	393	0.9767441860465116	0.9767441860465116
GT2	GT2:463	-	-	174	APMar_Scaffold_7180000000032|quiver_704	343	8.1e-70	1	165	19	183	0.9425287356321839	0.9425287356321839
GT2	GT2:14	-	-	121	APMar_Scaffold_7180000000032|quiver_707	672	1e-54	2	121	423	542	0.9834710743801653	0.9834710743801653
GT4_e1161	GT4:11	-	-	136	APMar_Scaffold_7180000000032|quiver_711	353	7.9e-54	2	133	177	305	0.9632352941176471	0.9632352941176471
CE11_e22	CE11:9240	3.5.1.108:18	exo-polysaccharide	272	APMar_Scaffold_7180000000032|quiver_838	305	4.6e-130	1	271	5	275	0.9926470588235294	0.9926470588235294
GH103_e38	GH103:605	-	-	294	APMar_Scaffold_7180000000034|quiver_168	423	9e-127	2	294	45	336	0.9931972789115646	0.9931972789115646
