HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT94.hmm	283	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_101	403	9e-19	4	208	91	305	0.7208480565371025
GT14.hmm	250	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1051	526	7.5e-56	1	236	4	247	0.94
AA7.hmm	458	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1065	478	5e-17	15	185	52	229	0.37117903930131
GH23.hmm	135	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1225	271	1.1e-26	11	121	135	244	0.8148148148148148
GT2.hmm	170	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_126	249	8.9e-26	1	166	5	167	0.9705882352941176
GT30.hmm	177	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1263	414	4.8e-53	3	174	25	201	0.9661016949152542
GT2.hmm	170	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1276	346	5.7e-30	1	165	28	185	0.9647058823529412
GT83.hmm	540	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_128	486	3.8e-38	12	386	18	374	0.6925925925925925
GT2.hmm	230	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1320	638	1.1e-36	4	228	259	483	0.9739130434782609
AA1.hmm	358	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1517	437	1.4e-51	10	358	46	430	0.9720670391061452
GH23.hmm	135	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_157	241	7.2e-16	17	115	58	179	0.725925925925926
GT83.hmm	540	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1596	511	2.9e-30	12	366	39	405	0.6555555555555556
AA3_2.hmm	568	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1626	553	1.2e-157	3	566	3	529	0.9911971830985915
GT4.hmm	160	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1758	423	6.6e-30	8	150	196	339	0.8875
GT107.hmm	532	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1787	660	8.1e-93	216	499	36	318	0.5319548872180451
GT107.hmm	532	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1787	660	4.8e-128	146	501	296	634	0.6672932330827067
GH109.hmm	399	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1815	322	4.1e-19	6	170	4	160	0.41102756892230574
CE11.hmm	271	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1855	321	9.4e-98	1	270	15	287	0.992619926199262
GT2.hmm	96	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_1958	300	2.2e-17	1	94	34	137	0.96875
GH3.hmm	216	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2046	337	1.5e-40	10	215	58	277	0.9490740740740741
GT2.hmm	170	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2209	279	1.3e-16	3	108	6	113	0.6176470588235294
GT8.hmm	257	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2260	267	3.5e-30	28	256	3	234	0.8871595330739299
GT19.hmm	354	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2353	388	3.4e-117	2	350	5	364	0.9830508474576272
GH23.hmm	135	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2374	196	1.4e-32	15	118	93	193	0.762962962962963
GH108.hmm	86	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2459	204	4.5e-28	3	86	9	97	0.9651162790697675
GT51.hmm	177	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2495	857	4.1e-62	2	176	65	240	0.9830508474576272
GH102.hmm	157	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_251	343	1e-44	1	157	100	234	0.9936305732484076
GT2.hmm	96	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2559	345	2.5e-18	1	95	10	108	0.9791666666666666
GT2.hmm	96	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2560	774	2.9e-24	1	95	444	543	0.9791666666666666
GT2.hmm	96	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2562	340	3.5e-20	1	96	10	110	0.9895833333333334
AA3.hmm	618	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2685	524	3.9e-53	92	401	13	518	0.5
GT28.hmm	157	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2776	368	3e-42	2	157	187	349	0.9872611464968153
GT83.hmm	540	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_2971	497	3.8e-25	11	359	31	379	0.6444444444444445
GT4.hmm	160	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_300	412	1.4e-20	5	159	223	381	0.9625
AA3.hmm	618	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3054	527	1e-50	88	400	14	525	0.5048543689320388
AA4.hmm	522	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3087	462	4e-27	51	249	40	229	0.3793103448275862
GT2.hmm	170	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_314	291	9.3e-24	2	141	9	144	0.8176470588235294
CE1.hmm	227	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3262	278	5.8e-46	1	225	23	273	0.986784140969163
GT4.hmm	160	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3344	403	4.5e-20	8	156	210	371	0.925
CE1.hmm	227	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3380	277	1.1e-47	1	225	21	272	0.986784140969163
GT2.hmm	96	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_340	353	8.7e-28	1	95	65	161	0.9791666666666666
GT2.hmm	96	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_341	337	3.1e-27	1	95	49	145	0.9791666666666666
GT14.hmm	250	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_342	569	5.4e-48	3	241	5	248	0.952
GT2.hmm	170	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3479	314	7.3e-30	2	129	6	132	0.7470588235294118
GH16_21.hmm	206	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3480	274	1.5e-60	4	203	52	255	0.9660194174757282
GT2.hmm	170	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3481	326	7.4e-33	1	133	14	151	0.7764705882352941
GT4.hmm	160	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3484	388	7.1e-16	8	157	201	350	0.93125
GH16_21.hmm	206	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3487	1459	2.7e-65	1	196	4	207	0.9466019417475728
CE3.hmm	194	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3487	1459	5.6e-17	2	145	256	426	0.7371134020618557
GT2.hmm	170	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3501	345	2.9e-16	2	166	25	192	0.9647058823529412
GT2.hmm	170	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3502	301	1.8e-21	1	131	10	139	0.7647058823529411
GT2.hmm	170	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3507	301	1.7e-31	1	139	11	144	0.8117647058823529
GT2.hmm	170	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_3510	401	1.1e-33	1	133	6	135	0.7764705882352941
GT51.hmm	177	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_361	243	5.2e-50	11	174	68	226	0.9209039548022598
GT4.hmm	160	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_371	397	2e-21	11	151	207	345	0.875
GT2.hmm	170	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_380	347	2.7e-20	2	167	8	213	0.9705882352941176
GH103.hmm	295	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_397	442	2.1e-112	1	294	71	364	0.9932203389830508
GT30.hmm	177	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_52	412	1.2e-21	10	172	32	193	0.9152542372881356
GH13_18.hmm	343	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_576	580	7.4e-139	2	343	90	430	0.9941690962099126
GT81.hmm	293	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_577	414	1.4e-65	77	276	89	323	0.6791808873720137
GT51.hmm	177	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_831	717	3.4e-55	2	176	108	303	0.9830508474576272
GH23.hmm	135	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_839	648	1.4e-27	8	120	486	623	0.8296296296296296
GH103.hmm	295	APOce_Scaffold_7180000000010|quiver_dupTrim=3297_849	392	3.9e-90	1	294	27	319	0.9932203389830508
GH23.hmm	135	APOce_Scaffold_7180000000011|quiver_21	205	1.6e-24	17	122	95	197	0.7777777777777778
GH23.hmm	135	APOce_Scaffold_7180000000011|quiver_26	385	1.2e-25	15	122	155	263	0.7925925925925926
GH109.hmm	399	APOce_Scaffold_7180000000013|quiver_24	396	2.1e-19	4	162	4	152	0.39598997493734334
