Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
APAlg_Scaffold_7180000000006|quiver_69	AXQ30319.1|GT2	46.6	744	346	6	56	759	101	833	1.71e-222	650
APAlg_Scaffold_7180000000006|quiver_99	AHC21644.2|GH1	50.9	515	249	3	6	519	10	521	2.05e-177	514
APAlg_Scaffold_7180000000006|quiver_265	UKZ91289.1|AA0	56.4	750	289	7	7	721	4	750	1.17e-295	832
APAlg_Scaffold_7180000000006|quiver_302	QPK65345.1|GT1	51.9	360	153	4	8	359	429	776	1.78e-112	350
APAlg_Scaffold_7180000000006|quiver_320	AXS84019.1|GT83	62.2	479	181	0	5	483	4	482	3.73e-210	596
APAlg_Scaffold_7180000000006|quiver_321	AXS84020.1|GT2	77.2	324	74	0	4	327	9	332	3.83e-174	491
APAlg_Scaffold_7180000000006|quiver_418	QBQ55156.1|CBM50	36.9	693	395	11	145	821	40	706	7.49e-115	375
APAlg_Scaffold_7180000000006|quiver_554	AXQ28081.1|GT28	58.3	350	143	3	1	348	1	349	2.02e-126	371
APAlg_Scaffold_7180000000006|quiver_561	QNU14775.1|CE11	65.8	304	102	2	1	303	1	303	1.11e-140	404
APAlg_Scaffold_7180000000006|quiver_627	AWI76795.1|GT20	69.0	741	228	2	1	740	1	740	0.0	1069
APAlg_Scaffold_7180000000006|quiver_646	QYU68416.1|GT2	62.1	309	116	1	7	315	419	726	3.40e-117	361
APAlg_Scaffold_7180000000006|quiver_662	QGU31698.1|GT2	62.7	279	102	1	10	288	3	279	2.39e-122	356
APAlg_Scaffold_7180000000006|quiver_667	AUG57914.1|GT4	59.4	421	169	2	9	427	479	899	1.16e-172	511
APAlg_Scaffold_7180000000006|quiver_716	QHS11258.1|GH3	51.5	699	322	8	46	729	37	733	5.31e-234	675
APAlg_Scaffold_7180000000006|quiver_747	CUS02574.2|GT2	50.3	352	141	3	1	352	1	318	6.97e-112	334
APAlg_Scaffold_7180000000006|quiver_754	SMH67649.1|GT4	53.2	412	193	0	7	418	1	412	3.32e-149	435
APAlg_Scaffold_7180000000006|quiver_756	AGN91810.2|GT4	46.5	473	246	4	1	467	1	472	7.32e-143	422
APAlg_Scaffold_7180000000006|quiver_812	CAD7222057.1|GH73	63.1	347	126	1	14	360	206	550	2.16e-137	417
APAlg_Scaffold_7180000000006|quiver_931	AVI59029.1|GT2	40.0	440	254	5	1	439	1	431	6.60e-105	323
APAlg_Scaffold_7180000000006|quiver_935	ALR08738.2|GT83	52.3	589	267	6	1	582	1	582	5.29e-199	575
APAlg_Scaffold_7180000000006|quiver_938	AMJ20543.1|GH13_11	55.7	395	173	1	25	419	17	409	2.54e-146	427
APAlg_Scaffold_7180000000006|quiver_948	QOF98722.1|GT87	60.1	552	211	6	5	551	12	559	7.87e-238	670
APAlg_Scaffold_7180000000006|quiver_1081	AGL64700.2|GH23	51.1	354	167	5	7	356	6	357	2.17e-115	344
APAlg_Scaffold_7180000000006|quiver_1084	AGL64353.2|CBM50|GH25	43.8	559	301	8	1	553	1	552	4.19e-158	468
APAlg_Scaffold_7180000000006|quiver_1099	AKJ94410.1|GH23	55.6	441	188	4	19	455	33	469	2.01e-157	459
APAlg_Scaffold_7180000000006|quiver_1136	ULQ45366.1|GH8	56.3	350	152	1	34	382	27	376	1.35e-137	402
APAlg_Scaffold_7180000000006|quiver_1137	ULQ45367.1|GT2	55.0	1423	631	4	31	1443	29	1451	0.0	1492
APAlg_Scaffold_7180000000006|quiver_1177	AGL63717.2|GT4	44.3	718	304	10	161	870	107	736	1.42e-178	538
APAlg_Scaffold_7180000000006|quiver_1215	AXQ28985.1|GT19	55.4	379	162	2	1	375	1	376	5.61e-137	400
APAlg_Scaffold_7180000000006|quiver_1217	AWZ17133.1|GH13_30	36.9	1110	619	24	4	1065	406	1482	8.31e-192	607
APAlg_Scaffold_7180000000006|quiver_1253	AKG15280.2|GH103	59.5	491	195	4	1	489	1	489	1.45e-202	577
APAlg_Scaffold_7180000000006|quiver_1261	AOY88030.1|GH13_18	68.4	474	150	0	1	474	1	474	3.24e-249	693
APAlg_Scaffold_7180000000006|quiver_1293	CAD7280782.1|GT2	45.1	977	400	7	8	948	345	1221	5.10e-268	823
APAlg_Scaffold_7180000000006|quiver_1294	CAD7280782.1|GT2	54.9	350	141	4	43	387	1178	1515	1.30e-104	345
APAlg_Scaffold_7180000000006|quiver_1349	QBQ55156.1|CBM50	38.1	669	384	10	86	750	55	697	3.34e-126	404
APAlg_Scaffold_7180000000006|quiver_1394	ULQ45785.1|GT51	52.9	752	350	4	10	759	27	776	1.49e-273	778
APAlg_Scaffold_7180000000006|quiver_1412	CUS02994.2|GT2	40.5	553	272	11	685	1187	3	548	6.87e-103	342
APAlg_Scaffold_7180000000006|quiver_1439	CCO12112.2|GH13_31	59.2	431	168	4	1	426	1	428	1.20e-160	464
APAlg_Scaffold_7180000000006|quiver_1473	BAK78812.1|GT2	53.9	436	195	2	35	470	1	430	4.70e-153	447
APAlg_Scaffold_7180000000006|quiver_1535	CAN65674.1|GH28	44.7	557	284	7	57	610	94	629	2.38e-152	477
APAlg_Scaffold_7180000000006|quiver_1574	ULQ46562.1|GH3	57.5	322	126	4	6	321	3	319	2.20e-107	321
APAlg_Scaffold_7180000000006|quiver_1584	CAG7911095.1|GH5_11	40.2	922	474	19	13	905	594	1467	9.91e-230	695
APAlg_Scaffold_7180000000006|quiver_1648	QMU61942.1|CBM47	38.6	591	297	19	608	1148	1076	1650	2.17e-104	367
APAlg_Scaffold_7180000000006|quiver_1706	CAD7252417.1|GH13	44.2	582	309	10	133	701	341	919	3.56e-133	434
APAlg_Scaffold_7180000000006|quiver_1710	AGL64345.2|GT2	46.7	595	305	4	324	910	265	855	1.76e-163	504
APAlg_Scaffold_7180000000006|quiver_1793	AGL63871.2|GT2	45.3	479	227	5	279	757	528	971	3.31e-115	377
APAlg_Scaffold_7180000000006|quiver_1799	AGL63717.2|GT4	42.0	638	304	9	171	749	107	737	5.04e-156	476
APAlg_Scaffold_7180000000006|quiver_1815	QBQ72230.1|GH23	37.7	1543	727	37	1624	2972	1320	2825	8.20e-241	830
APAlg_Scaffold_7180000000006|quiver_1893	CAN80640.1|GT47	44.1	417	226	4	7	419	944	1357	1.02e-106	348
APAlg_Scaffold_7180000000006|quiver_1911	QKQ26241.1|CBM50	50.2	442	205	6	11	450	7	435	9.76e-136	402
APAlg_Scaffold_7180000000006|quiver_1935	CAE6204650.1|GH28	48.9	599	298	4	5	596	746	1343	2.05e-188	572
APAlg_Scaffold_7180000000006|quiver_2027	UPZ27226.1|CBM32	41.3	511	269	15	270	776	67	550	1.71e-113	364
APAlg_Scaffold_7180000000006|quiver_2082	CAE6201330.1|GH1	55.8	647	276	4	5	641	564	1210	6.03e-255	741
APAlg_Scaffold_7180000000006|quiver_2089	AZU04875.1|GT2	53.8	327	150	1	7	333	2	327	1.16e-111	332
APAlg_Scaffold_7180000000006|quiver_2099	QHS10548.1|GT2	45.1	566	285	10	981	1540	389	934	7.71e-126	422
APAlg_Scaffold_7180000000006|quiver_2103	QWA11134.1|GT2	51.2	338	162	2	1	335	288	625	1.28e-113	348
APAlg_Scaffold_7180000000006|quiver_2104	QAY63367.1|GT2	62.2	288	108	1	1	288	316	602	3.50e-122	367
APAlg_Scaffold_7180000000006|quiver_2121	ALR08391.2|GT4	51.2	346	158	2	1	335	1	346	1.66e-109	328
APAlg_Scaffold_7180000000006|quiver_2140	AWP05996.1|GT25	38.7	563	323	11	55	602	89	644	1.59e-105	352
APAlg_Scaffold_7180000000006|quiver_2269	CAD7226128.1|GH38	35.7	715	396	12	11	685	1345	2035	2.91e-124	414
APAlg_Scaffold_7180000000006|quiver_2272	CCO12868.2|GH1	45.2	1387	519	8	13	1361	3	1186	0.0	1165
APAlg_Scaffold_7180000000006|quiver_2295	AKG14948.2|GT28	37.5	717	361	25	14	680	19	698	1.27e-127	399
APAlg_Scaffold_7180000000006|quiver_2305	CAE6201330.1|GH1	37.4	637	372	14	5	622	581	1209	8.10e-128	410
APAlg_Scaffold_7180000000006|quiver_2312	QHS09272.1|GH23	47.6	498	241	8	4	493	13	498	7.83e-137	409
APAlg_Scaffold_7180000000006|quiver_2317	AMJ20771.1|GH13_26	52.3	865	404	5	1	862	1	859	0.0	926
APAlg_Scaffold_7180000000006|quiver_2358	CCA14548.1|GT2	54.3	311	141	1	2	311	441	751	5.96e-114	351
APAlg_Scaffold_7180000000006|quiver_2359	ULQ48178.1|CBM50|GH23	46.5	492	253	4	23	514	55	536	4.47e-136	412
APAlg_Scaffold_7180000000006|quiver_2376	QYO62262.1|GH13	67.4	347	112	1	3	349	2	347	9.03e-151	444
APAlg_Scaffold_7180000000006|quiver_2423	QYU66396.1|GH13_23	52.8	460	199	10	1	449	4	456	4.75e-134	409
APAlg_Scaffold_7180000000006|quiver_2458	CAD7221988.1|GH103	49.7	628	300	5	5	625	10	628	2.19e-200	602
APAlg_Scaffold_7180000000006|quiver_2459	CAD7221988.1|GH103	54.9	344	155	0	24	367	633	976	6.12e-112	359
APAlg_Scaffold_7180000000006|quiver_2540	AKG15649.2|GT51	38.4	841	465	12	3	797	23	856	3.37e-155	479
APAlg_Scaffold_7180000000006|quiver_2576	ALR09738.2|GH18	56.7	404	163	5	5	402	2	399	2.95e-138	411
APAlg_Scaffold_7180000000006|quiver_2633	CAD7245033.1|GT58	67.0	479	146	5	2	470	1053	1529	3.30e-194	597
APAlg_Scaffold_7180000000006|quiver_2802	ATQ44346.1|GT2	56.6	316	137	0	27	342	7	322	2.18e-123	363
APAlg_Scaffold_7180000000006|quiver_2810	QKX60855.1|GT22	64.4	289	101	1	2	288	574	862	4.23e-116	358
APAlg_Scaffold_7180000000006|quiver_2811	CAD7280782.1|GT2	56.6	346	146	3	21	364	1794	2137	5.45e-111	362
APAlg_Scaffold_7180000000006|quiver_2949	QIT53986.1|CBM50	46.5	372	197	2	96	466	141	511	2.61e-107	333
APAlg_Scaffold_7180000000006|quiver_3044	QTP61126.1|GH103	57.1	413	155	1	11	401	2	414	1.00e-161	466
APAlg_Scaffold_7180000000006|quiver_3086	QCE13289.1|CE8	47.1	412	188	2	3	390	406	811	4.07e-116	374
APAlg_Scaffold_7180000000006|quiver_3109	CUS04494.2|GH39	58.5	1276	477	11	10	1251	3	1259	0.0	1429
APAlg_Scaffold_7180000000006|quiver_3157	AXQ27291.1|GT51	49.5	824	362	11	19	841	14	784	3.19e-257	741
APAlg_Scaffold_7180000000006|quiver_3233	QJA24793.1|GT4	56.9	731	315	0	6	736	11	741	4.40e-290	819
APAlg_Scaffold_7180000000006|quiver_3235	AVM55139.1|GH65	45.3	682	363	6	9	685	678	1354	6.68e-201	608
APAlg_Scaffold_7180000000006|quiver_3259	QWC20507.1|AA3_2	50.9	525	251	5	2	524	6	525	3.65e-173	505
APAlg_Scaffold_7180000000006|quiver_3295	ULQ48247.1|GT1	70.5	373	105	1	1	368	1	373	1.15e-189	533
APAlg_Scaffold_7180000000006|quiver_3335	QIL91231.1|GT2	69.9	276	83	0	1	276	1	276	3.99e-142	405
APAlg_Scaffold_7180000000006|quiver_3367	ALR09732.2|GH92	43.9	738	380	14	6	723	8	731	7.28e-171	513
APAlg_Scaffold_7180000000006|quiver_3449	CDM22846.1|GT51	56.9	420	177	2	1	417	889	1307	3.36e-149	461
APAlg_Scaffold_7180000000006|quiver_3458	AXQ31416.1|GT30	54.8	420	177	6	3	417	2	413	9.19e-143	418
APAlg_Scaffold_7180000000006|quiver_3470	UPM44564.1|AA0	63.1	713	260	2	32	741	3	715	0.0	917
APAlg_Scaffold_7180000000006|quiver_3493	ADE55402.1|GT4	51.1	352	172	0	26	377	28	379	1.10e-118	354
