HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
AA3.hmm	618	APAlg_Scaffold_7180000000006|quiver_1010	456	3.6e-30	85	355	4	454	0.4368932038834951
CE1.hmm	227	APAlg_Scaffold_7180000000006|quiver_1065	304	8.3e-26	5	174	52	212	0.7444933920704846
GH23.hmm	135	APAlg_Scaffold_7180000000006|quiver_1085	200	4.7e-23	7	125	90	196	0.8740740740740741
AA6.hmm	195	APAlg_Scaffold_7180000000006|quiver_1088	213	1.5e-68	1	193	17	205	0.9846153846153847
GH23.hmm	135	APAlg_Scaffold_7180000000006|quiver_1099	461	1.3e-25	7	122	298	453	0.8518518518518519
GT51.hmm	177	APAlg_Scaffold_7180000000006|quiver_1118	228	3e-47	11	176	51	215	0.9322033898305084
GH8.hmm	320	APAlg_Scaffold_7180000000006|quiver_1136	386	5.9e-72	1	319	39	365	0.99375
GT2.hmm	170	APAlg_Scaffold_7180000000006|quiver_1137	1444	2.5e-37	1	170	149	320	0.9941176470588236
GT19.hmm	354	APAlg_Scaffold_7180000000006|quiver_1215	380	1.9e-125	2	352	4	360	0.9887005649717514
GH13_18.hmm	343	APAlg_Scaffold_7180000000006|quiver_1261	481	1.8e-107	1	343	35	370	0.9970845481049563
AA1.hmm	358	APAlg_Scaffold_7180000000006|quiver_1355	613	5e-63	7	357	71	604	0.9776536312849162
GT51.hmm	177	APAlg_Scaffold_7180000000006|quiver_1394	760	3.1e-56	8	174	148	318	0.9378531073446328
GT2.hmm	230	APAlg_Scaffold_7180000000006|quiver_1473	471	7.1e-29	1	230	114	345	0.9956521739130435
GH23.hmm	135	APAlg_Scaffold_7180000000006|quiver_1552	351	1.5e-21	10	113	76	198	0.762962962962963
GH3.hmm	216	APAlg_Scaffold_7180000000006|quiver_1574	336	1.1e-50	3	215	56	288	0.9814814814814815
GH108.hmm	86	APAlg_Scaffold_7180000000006|quiver_1841	190	4.8e-21	2	86	7	95	0.9767441860465116
AA3_2.hmm	568	APAlg_Scaffold_7180000000006|quiver_1988	561	1e-116	2	567	34	556	0.9947183098591549
GT2.hmm	170	APAlg_Scaffold_7180000000006|quiver_2089	336	3.1e-17	1	168	11	179	0.9823529411764705
GT2.hmm	170	APAlg_Scaffold_7180000000006|quiver_2099	1546	9.7e-32	1	129	722	851	0.7529411764705882
GT2.hmm	170	APAlg_Scaffold_7180000000006|quiver_2099	1546	2.1e-17	2	168	1293	1471	0.9764705882352941
CE1.hmm	227	APAlg_Scaffold_7180000000006|quiver_2164	281	6.7e-49	4	224	26	275	0.9691629955947136
AA1.hmm	358	APAlg_Scaffold_7180000000006|quiver_2186	630	1.2e-67	9	357	73	612	0.9720670391061452
GH23.hmm	135	APAlg_Scaffold_7180000000006|quiver_2312	494	1.1e-26	7	124	298	454	0.8666666666666667
GH23.hmm	135	APAlg_Scaffold_7180000000006|quiver_2351	656	2e-24	15	123	500	628	0.8
GH23.hmm	135	APAlg_Scaffold_7180000000006|quiver_2359	615	2.2e-19	2	105	167	289	0.762962962962963
GH103.hmm	295	APAlg_Scaffold_7180000000006|quiver_2460	327	1.5e-83	14	294	26	313	0.9491525423728814
GT2.hmm	170	APAlg_Scaffold_7180000000006|quiver_2802	346	1.5e-24	1	166	28	194	0.9705882352941176
GH103.hmm	295	APAlg_Scaffold_7180000000006|quiver_3044	411	1.5e-116	1	294	33	325	0.9932203389830508
GT51.hmm	177	APAlg_Scaffold_7180000000006|quiver_3157	850	1.1e-69	1	177	62	238	0.9943502824858758
GT83.hmm	540	APAlg_Scaffold_7180000000006|quiver_320	494	1.9e-99	4	366	3	398	0.6703703703703704
GT2.hmm	170	APAlg_Scaffold_7180000000006|quiver_321	332	1.5e-35	1	167	9	170	0.9764705882352941
GT4.hmm	160	APAlg_Scaffold_7180000000006|quiver_3233	757	5.5e-35	7	159	555	707	0.95
AA3_2.hmm	568	APAlg_Scaffold_7180000000006|quiver_3259	557	1.1e-171	3	566	2	524	0.9911971830985915
GT2.hmm	170	APAlg_Scaffold_7180000000006|quiver_3335	280	5.6e-20	1	105	4	109	0.611764705882353
GT30.hmm	177	APAlg_Scaffold_7180000000006|quiver_3458	431	2e-60	2	176	34	209	0.9830508474576272
AA2.hmm	255	APAlg_Scaffold_7180000000006|quiver_3470	742	3.5e-17	6	115	81	192	0.42745098039215684
GT4.hmm	160	APAlg_Scaffold_7180000000006|quiver_3493	382	1.9e-23	10	153	213	347	0.89375
AA7.hmm	458	APAlg_Scaffold_7180000000006|quiver_527	472	3.3e-17	8	205	33	240	0.43013100436681223
GT28.hmm	157	APAlg_Scaffold_7180000000006|quiver_554	352	2.2e-52	2	156	180	336	0.9808917197452229
CE11.hmm	271	APAlg_Scaffold_7180000000006|quiver_561	306	1.1e-116	1	270	4	276	0.992619926199262
GT20.hmm	475	APAlg_Scaffold_7180000000006|quiver_627	756	6e-153	12	474	251	739	0.9726315789473684
GT105.hmm	131	APAlg_Scaffold_7180000000006|quiver_661	590	1.3e-20	6	124	31	170	0.9007633587786259
GT2.hmm	170	APAlg_Scaffold_7180000000006|quiver_662	294	2.5e-27	1	166	11	162	0.9705882352941176
GT4.hmm	160	APAlg_Scaffold_7180000000006|quiver_663	375	3.8e-37	9	150	198	337	0.88125
GH3.hmm	216	APAlg_Scaffold_7180000000006|quiver_716	734	4.5e-65	3	216	98	318	0.9861111111111112
GT4.hmm	160	APAlg_Scaffold_7180000000006|quiver_740	394	6.4e-29	7	157	212	363	0.9375
GT4.hmm	160	APAlg_Scaffold_7180000000006|quiver_754	428	6.8e-16	6	153	234	385	0.91875
GH73.hmm	128	APAlg_Scaffold_7180000000006|quiver_813	301	1.4e-28	3	125	151	279	0.953125
